
2023/01/27 (20:48:13) | ===> btop++ v.1.2.13
2023/01/27 (20:48:15) | ERROR: Stall in Runner thread, restarting!
2023/01/27 (20:48:32) | ERROR: Stall in Runner thread, restarting!

2023/02/13 (20:16:11) | ===> btop++ v.1.2.13
2023/02/13 (20:16:11) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/13 (20:38:09) | ===> btop++ v.1.2.13
2023/02/13 (20:38:09) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/13 (21:14:31) | ===> btop++ v.1.2.13
2023/02/13 (21:14:31) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/13 (21:47:39) | ===> btop++ v.1.2.13
2023/02/13 (21:47:39) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2023/02/13 (21:48:22) | WARNING: Failed to join _runner thread on exit!

2023/02/15 (18:30:31) | ===> btop++ v.1.2.13
2023/02/15 (18:30:31) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2023/02/15 (18:30:50) | WARNING: Failed to join _runner thread on exit!

2023/02/15 (18:45:25) | ===> btop++ v.1.2.13
2023/02/15 (18:45:25) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/15 (20:14:58) | ===> btop++ v.1.2.13
2023/02/15 (20:14:58) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/15 (21:17:47) | ===> btop++ v.1.2.13
2023/02/15 (21:17:47) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/16 (18:48:58) | ===> btop++ v.1.2.13
2023/02/16 (18:48:58) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/17 (17:36:13) | ===> btop++ v.1.2.13
2023/02/17 (17:36:13) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/18 (21:46:29) | ===> btop++ v.1.2.13
2023/02/18 (21:46:29) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/02/18 (22:09:34) | ===> btop++ v.1.2.13
2023/02/18 (22:09:34) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
